id,filename,asset_filename,slug,title,alt_text,caption,description,location,state_region,country,tags,orientation,license_status,license_type,model_release,property_release,collection,featured,published,date_captured,date_published,notes
img-0001,IMG_0044.jpeg,img-0001-img-0044.jpeg,img-0001-img-0044,Tree Canopy Over Modern Courtyard,"Tree Canopy Over Modern Courtyard, architecture, courtyard, lake oswego in Lake Oswego, Oregon","Tree Canopy Over Modern Courtyard in Lake Oswego, Oregon.","Tree Canopy Over Modern Courtyard is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, courtyard, lake oswego, landscaped garden, mature trees, oregon, pacific northwest, private property, residential exterior, shade, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0002,IMG_0053.jpeg,img-0002-img-0053.jpeg,img-0002-img-0053,Living Room Patio View,"Living Room Patio View, architecture, interior, lake oswego in Lake Oswego, Oregon","Living Room Patio View in Lake Oswego, Oregon.","Living Room Patio View is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, interior, lake oswego, living room, oregon, pacific northwest, patio doors, residential interior, staged home, united states, window view",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0003,IMG_0054.jpeg,img-0003-img-0054.jpeg,img-0003-img-0054,Wine Cellar Display,"Wine Cellar Display, architecture, event reflection, interior in Lake Oswego, Oregon","Wine Cellar Display in Lake Oswego, Oregon.","Wine Cellar Display is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, event reflection, interior, lake oswego, oregon, pacific northwest, residential design, tasting room, united states, wine bottles, wine cellar",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0004,IMG_0055.jpeg,img-0004-img-0055.jpeg,img-0004-img-0055,Modern Hillside Home Exterior,"Modern Hillside Home Exterior, architecture, exterior, glass facade in Lake Oswego, Oregon","Modern Hillside Home Exterior in Lake Oswego, Oregon.","Modern Hillside Home Exterior is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, exterior, glass facade, hillside house, lake oswego, landscaped yard, modern home, oregon, pacific northwest, residential design, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0005,IMG_0057.jpeg,img-0005-img-0057.jpeg,img-0005-img-0057,Reflective Glass Facade and Water Feature,"Reflective Glass Facade and Water Feature, architecture, glass facade, lake oswego in Lake Oswego, Oregon","Reflective Glass Facade and Water Feature in Lake Oswego, Oregon.","Reflective Glass Facade and Water Feature is a portrait photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, glass facade, lake oswego, landscaped pond, modern home, oregon, pacific northwest, reflective windows, residential exterior, united states, water feature",portrait,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0006,IMG_0059.jpeg,img-0006-img-0059.jpeg,img-0006-img-0059,Kitchen View With Tall Windows,"Kitchen View With Tall Windows, architecture, interior, kitchen in Lake Oswego, Oregon","Kitchen View With Tall Windows in Lake Oswego, Oregon.","Kitchen View With Tall Windows is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, interior, kitchen, lake oswego, marble island, modern home, oregon, pacific northwest, residential design, tall windows, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0007,IMG_0060.jpeg,img-0007-img-0060.jpeg,img-0007-img-0060,Covered Patio Dining Area,"Covered Patio Dining Area, backyard, covered patio, lake oswego in Lake Oswego, Oregon","Covered Patio Dining Area in Lake Oswego, Oregon.","Covered Patio Dining Area is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"backyard, covered patio, lake oswego, oregon, outdoor dining, outdoor living, pacific northwest, patio, residential architecture, united states, wooded hillside",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0008,IMG_0063.jpeg,img-0008-img-0063.jpeg,img-0008-img-0063,Covered Outdoor Lounge and Grill,"Covered Outdoor Lounge and Grill, architecture, backyard, covered patio in Lake Oswego, Oregon","Covered Outdoor Lounge and Grill in Lake Oswego, Oregon.","Covered Outdoor Lounge and Grill is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, backyard, covered patio, grill station, lake oswego, landscaping, oregon, outdoor lounge, pacific northwest, residential design, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0009,IMG_0070.jpeg,img-0009-img-0070.jpeg,img-0009-img-0070,Sunlit Entry Hall From Above,"Sunlit Entry Hall From Above, entry hall, foyer, interior architecture in Lake Oswego, Oregon","Sunlit Entry Hall From Above in Lake Oswego, Oregon.","Sunlit Entry Hall From Above is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"entry hall, foyer, interior architecture, lake oswego, modern home, natural light, oregon, overhead view, pacific northwest, residential interior, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0010,IMG_0078.jpeg,img-0010-img-0078.jpeg,img-0010-img-0078,Bedroom With Patio Window,"Bedroom With Patio Window, architecture, bedroom, interior in Lake Oswego, Oregon","Bedroom With Patio Window in Lake Oswego, Oregon.","Bedroom With Patio Window is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, bedroom, interior, lake oswego, oregon, pacific northwest, patio view, residential design, staged home, united states, window light",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0011,IMG_0084.jpeg,img-0011-img-0084.jpeg,img-0011-img-0084,Decorative Garage Doors,"Decorative Garage Doors, architecture, decorative doors, driveway in Lake Oswego, Oregon","Decorative Garage Doors in Lake Oswego, Oregon.","Decorative Garage Doors is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"architecture, decorative doors, driveway, exterior detail, garage doors, lake oswego, oregon, pacific northwest, pavers, stone facade, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0012,IMG_0085.jpeg,img-0012-img-0085.jpeg,img-0012-img-0085,Stone Facade and Arched Entry,"Stone Facade and Arched Entry, arched entry, architecture, front elevation in Lake Oswego, Oregon","Stone Facade and Arched Entry in Lake Oswego, Oregon.","Stone Facade and Arched Entry is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"arched entry, architecture, front elevation, lake oswego, large home, oregon, pacific northwest, residential exterior, stone facade, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0013,IMG_0087.jpeg,img-0013-img-0087.jpeg,img-0013-img-0087,Backyard Waterfall Garden,"Backyard Waterfall Garden, backyard, garden design, lake oswego in Lake Oswego, Oregon","Backyard Waterfall Garden in Lake Oswego, Oregon.","Backyard Waterfall Garden is a landscape photograph in Lake Oswego, Oregon for the residential-architecture-event collection.","Lake Oswego, Oregon",Oregon,United States,"backyard, garden design, lake oswego, landscaping, lawn, oregon, pacific northwest, private property, residential exterior, rock waterfall, united states",landscape,commercial-safe,free-use,no,no,residential-architecture-event,no,no,2015-08-19,,Approved for commercial-safe free-use publication by owner.
img-0014,IMG_0156.jpeg,img-0014-img-0156.jpeg,img-0014-img-0156,Hazy Sun Over Empty Parking Lot,"Hazy Sun Over Empty Parking Lot, smoky sky, hazy sunset, parking lot in Unspecified parking lot",Hazy Sun Over Empty Parking Lot in Unspecified parking lot.,Hazy Sun Over Empty Parking Lot is a portrait photograph in Unspecified parking lot for the suburban-atmosphere collection.,Unspecified parking lot,,United States," smoky sky, hazy sunset, parking lot, evening light, urban edge, atmosphere",portrait,commercial-safe,free-use,no,no,suburban-atmosphere,no,no,2015-08-22,,Approved for commercial-safe free-use publication by owner.
img-0015,IMG_0157.jpeg,img-0015-img-0157.jpeg,img-0015-img-0157,Sun Through Smoke and Trees,"Sun Through Smoke and Trees, smoky sky, sun through trees, haze in Unspecified suburban treeline",Sun Through Smoke and Trees in Unspecified suburban treeline.,Sun Through Smoke and Trees is a landscape photograph in Unspecified suburban treeline for the suburban-atmosphere collection.,Unspecified suburban treeline,,United States," smoky sky, sun through trees, haze, atmospheric, suburban landscape, evening light",landscape,commercial-safe,free-use,no,no,suburban-atmosphere,no,no,2015-08-22,,Approved for commercial-safe free-use publication by owner.
img-0016,IMG_0259.jpeg,img-0016-img-0259.jpeg,img-0016-img-0259,Twilight Drive Through Neighborhood,"Twilight Drive Through Neighborhood, car view, power lines, streetlights in Unspecified suburban roadway",Twilight Drive Through Neighborhood in Unspecified suburban roadway.,Twilight Drive Through Neighborhood is a landscape photograph in Unspecified suburban roadway for the suburban-atmosphere collection.,Unspecified suburban roadway,,United States,"car view, power lines, roadway, streetlights, suburban road, sunset glow, twilight",landscape,commercial-safe,free-use,no,no,suburban-atmosphere,no,no,2015-09-01,,Approved for commercial-safe free-use publication by owner.
img-0017,IMG_0500.jpeg,img-0017-img-0500.jpeg,img-0017-img-0500,Yellow Crab Spider Macro,"Yellow Crab Spider Macro, spider, yellow crab spider, macro in Unspecified backyard or garden",Yellow Crab Spider Macro in Unspecified backyard or garden.,Yellow Crab Spider Macro is a portrait photograph in Unspecified backyard or garden for the nature-details collection.,Unspecified backyard or garden,,United States," spider, yellow crab spider, macro, insect, arthropod, nature detail, close-up",portrait,commercial-safe,free-use,no,no,nature-details,no,no,2015-09-08,,Approved for commercial-safe free-use publication based on visible content.
img-0018,IMG_0519.jpeg,img-0018-img-0519.jpeg,img-0018-img-0519,Low Sun Over Quiet Water,"Low Sun Over Quiet Water, calm water, evening light, landscape in Unspecified shoreline",Low Sun Over Quiet Water in Unspecified shoreline.,Low Sun Over Quiet Water is a landscape photograph in Unspecified shoreline for the waterside-sunsets collection.,Unspecified shoreline,,United States,"calm water, evening light, landscape, shoreline, sun flare, sunset, waterside",landscape,commercial-safe,free-use,no,no,waterside-sunsets,yes,no,2015-09-10,,Approved for commercial-safe free-use publication. No identifiable property or people visible.
img-0019,IMG_0541.jpeg,img-0019-img-0541.jpeg,img-0019-img-0541,Sunlight Through Evergreens,"Sunlight Through Evergreens, evergreens, forest edge, trees in Unspecified wooded area",Sunlight Through Evergreens in Unspecified wooded area.,Sunlight Through Evergreens is a landscape photograph in Unspecified wooded area for the nature-details collection.,Unspecified wooded area,,United States," evergreens, forest edge, trees, sunlight, woodland, conifers, morning light",landscape,commercial-safe,free-use,no,no,nature-details,no,no,2015-09-11,,Approved for commercial-safe free-use publication by owner.
